sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
209,M,83.3,Central,70.43,Others,Commerce,77.18,Comm&Mgmt,No,60.99,Mkt&Fin,58.53,Placed,200000
1,M,72.32,Central,37,Central,Commerce,87.72,Sci&Tech,No,56.51,Mkt&HR,75.09,Not Placed,200000
100,F,79.76,Others,39.64,Central,Science,74,Comm&Mgmt,No,60.33,Mkt&Fin,70.82,Placed,463753
144,M,86.02,Central,72.61,Others,Commerce,88.54,Comm&Mgmt,No,75.39,Mkt&Fin,76.96,Not Placed,203348
133,M,89.4,Central,72.22,Central,Commerce,89.96,Sci&Tech,No,50,Mkt&Fin,64.23,Placed,200000
115,M,88,Others,37.78,Others,Commerce,69.04,Comm&Mgmt,No,61,Mkt&Fin,58.78,Placed,268974
138,M,43.53,Others,77.55,Others,Commerce,85.8,Others,Yes,66.76,Mkt&HR,69.32,Placed,
170,F,88.02,Central,37,Central,Commerce,62.69,Comm&Mgmt,No,50,Mkt&HR,68.6,Placed,274238
88,M,42.12,Central,54.94,Others,Science,52.44,Comm&Mgmt,No,60.98,Mkt&HR,51.21,Placed,321505
144,F,70.27,Central,44.89,Others,Commerce,50,Comm&Mgmt,Yes,58.52,Mkt&Fin,51.21,Placed,280650
18,F,80.02,Central,37,Others,Commerce,85.04,Comm&Mgmt,No,50,Mkt&Fin,58.87,Placed,263515
166,M,89.4,Central,59.59,Central,Commerce,77.98,Comm&Mgmt,No,71.99,Mkt&Fin,63.02,Placed,
215,F,50.42,Central,42.45,Central,Commerce,50,Comm&Mgmt,No,68.21,Mkt&HR,59.1,Not Placed,
114,M,89.4,Others,61.79,Others,Science,88.93,Others,Yes,64.36,Mkt&Fin,57.02,Not Placed,
109,F,67.53,Others,58.65,Others,Science,82.47,Comm&Mgmt,No,73.79,Mkt&Fin,69.1,Not Placed,453319
146,F,89.4,Others,59.2,Central,Commerce,57.84,Comm&Mgmt,No,78.66,Mkt&Fin,61.79,Placed,
159,M,47.38,Others,45.2,Others,Commerce,51.76,Comm&Mgmt,No,61.77,Mkt&Fin,51.8,Not Placed,220849
105,M,67.84,Central,40.23,Others,Commerce,70.77,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,
96,M,67.64,Others,45.55,Others,Commerce,50.11,Comm&Mgmt,No,50,Mkt&HR,51.21,Not Placed,200000
91,M,74.81,Others,55.24,Others,Commerce,67.57,Comm&Mgmt,Yes,50,Mkt&Fin,51.21,Placed,202492
68,M,54.47,Central,37,Others,Science,50.48,Comm&Mgmt,No,98,Mkt&Fin,51.21,Placed,
202,M,89.4,Others,48.75,Central,Commerce,77.07,Comm&Mgmt,Yes,50,Mkt&Fin,72.1,Placed,205039
122,M,54.56,Central,37,Central,Science,61.09,Comm&Mgmt,No,64.15,Mkt&Fin,58.87,Placed,
215,F,78.38,Central,61.2,Others,Commerce,65.99,Comm&Mgmt,No,98,Mkt&Fin,63.99,Not Placed,200000
18,F,89.4,Others,70.01,Others,Science,84.53,Sci&Tech,No,98,Mkt&Fin,68.43,Placed,200000
157,F,70.45,Central,88.25,Others,Commerce,83.61,Sci&Tech,No,65.4,Mkt&HR,58.53,Not Placed,202492
118,F,74.94,Central,55.7,Others,Commerce,73.34,Comm&Mgmt,No,56.39,Mkt&HR,61.35,Placed,214149
150,F,80.98,Central,37,Others,Commerce,78.54,Comm&Mgmt,No,50,Mkt&Fin,63.91,Placed,294880
126,M,56.96,Others,38.6,Others,Commerce,70.13,Comm&Mgmt,No,79.24,Mkt&Fin,57.65,Not Placed,
74,M,78.09,Others,57.59,Others,Science,91,Comm&Mgmt,No,74.15,Mkt&HR,65.2,Placed,
208,M,86.53,Others,83.79,Others,Science,68.01,Comm&Mgmt,Yes,98,Mkt&HR,61.23,Placed,270299
153,M,88.55,Central,72.21,Central,Commerce,82.45,Comm&Mgmt,Yes,87.21,Mkt&Fin,53.74,Placed,
145,M,81.23,Central,37,Central,Commerce,70,Comm&Mgmt,No,50.24,Mkt&Fin,60.32,Placed,
145,F,50.83,Central,43.52,Others,Commerce,72.59,Comm&Mgmt,No,84.35,Mkt&Fin,64.36,Placed,286423
215,M,69.47,Central,55.09,Central,Commerce,86.7,Comm&Mgmt,No,71.33,Mkt&Fin,62.08,Placed,
125,M,89.4,Central,44.86,Others,Commerce,74.67,Comm&Mgmt,Yes,50,Mkt&Fin,63.01,Placed,271016
122,M,88.11,Others,47.39,Others,Commerce,83.4,Comm&Mgmt,No,50,Mkt&HR,58.05,Placed,275768
89,M,61.51,Others,60.59,Others,Commerce,69.27,Comm&Mgmt,No,89.32,Mkt&Fin,56.41,Placed,255740
72,M,81.41,Others,72.31,Others,Arts,86.91,Comm&Mgmt,Yes,56.87,Mkt&HR,77.89,Placed,251172
105,M,80.83,Central,37,Central,Commerce,82.56,Comm&Mgmt,No,61.61,Mkt&Fin,61.23,Placed,234643
215,M,70.7,Others,38.88,Central,Commerce,65.39,Sci&Tech,No,71.98,Mkt&Fin,77.61,Placed,200311
31,M,52.92,Others,39.65,Others,Science,64.73,Comm&Mgmt,No,60.71,Mkt&Fin,66.58,Placed,311682
106,M,52.35,Central,39.38,Others,Commerce,80.16,Comm&Mgmt,No,50,Mkt&Fin,52.66,Placed,289708
187,F,88.29,Central,64.34,Others,Commerce,72.75,Comm&Mgmt,No,86.72,Mkt&HR,67.83,Placed,
72,M,72.47,Others,64.02,Central,Science,87.72,Comm&Mgmt,No,50,Mkt&Fin,69.41,Placed,283117
14,M,89.17,Central,68.66,Others,Science,88.43,Comm&Mgmt,No,79.45,Mkt&Fin,77.89,Placed,
147,F,89.4,Others,52.29,Others,Commerce,55.08,Comm&Mgmt,No,81.45,Mkt&Fin,64.44,Placed,200000
191,M,87.94,Central,50.82,Central,Science,70.34,Comm&Mgmt,No,50,Mkt&Fin,65.37,Placed,200000
98,M,89.4,Central,84.41,Others,Commerce,91,Comm&Mgmt,No,78.95,Mkt&Fin,64.91,Placed,200000
168,M,59.56,Others,59.26,Central,Science,50,Comm&Mgmt,Yes,67.03,Mkt&HR,51.21,Placed,
147,F,82.91,Central,48.33,Others,Commerce,78.43,Sci&Tech,No,89.47,Mkt&Fin,75.04,Placed,
168,M,70.44,Others,56.11,Others,Science,57.95,Comm&Mgmt,No,57.53,Mkt&HR,54.57,Placed,243933
40,F,70.81,Central,50.82,Central,Commerce,81.29,Comm&Mgmt,No,98,Mkt&Fin,68.04,Not Placed,225591
203,F,89.4,Others,67.35,Others,Commerce,82.09,Comm&Mgmt,Yes,59.77,Mkt&Fin,77.89,Not Placed,231213
164,M,52.67,Central,38.06,Others,Commerce,67.78,Comm&Mgmt,No,61.61,Mkt&Fin,51.21,Placed,
207,M,88.88,Others,76.46,Others,Science,65.04,Comm&Mgmt,No,50,Mkt&HR,66.23,Placed,263481
183,M,56.18,Central,50.04,Others,Science,53.66,Comm&Mgmt,No,76.51,Mkt&HR,61.35,Placed,254345
89,M,89.4,Central,68.39,Others,Science,74.1,Comm&Mgmt,No,98,Mkt&Fin,71.31,Placed,256555
215,F,57.67,Central,37,Central,Science,50,Comm&Mgmt,Yes,53.87,Mkt&Fin,56.22,Not Placed,
175,M,78.69,Others,57.38,Others,Science,78.19,Sci&Tech,No,62.1,Mkt&Fin,61.91,Placed,228735
72,M,83.54,Others,54.13,Others,Science,81.86,Comm&Mgmt,No,50,Mkt&Fin,54.57,Placed,
42,M,89.4,Others,78.4,Others,Commerce,89.89,Comm&Mgmt,Yes,53.11,Mkt&HR,62.83,Placed,289655
158,M,43.39,Others,39.79,Others,Science,50,Comm&Mgmt,Yes,50,Mkt&Fin,52.82,Placed,
143,M,89.4,Others,80.37,Others,Commerce,80.59,Comm&Mgmt,No,50,Mkt&Fin,67.54,Placed,
215,M,76.79,Central,72.69,Central,Commerce,85.15,Comm&Mgmt,No,51.81,Mkt&HR,70.73,Placed,293606
215,M,45.91,Central,58.52,Others,Commerce,69.95,Comm&Mgmt,No,54.86,Mkt&Fin,54.37,Not Placed,200183
123,M,67.37,Central,40.95,Others,Science,69.15,Comm&Mgmt,No,50,Mkt&Fin,53.58,Placed,239988
215,F,72.46,Central,51.57,Others,Commerce,63.51,Comm&Mgmt,No,82.62,Mkt&Fin,68.51,Placed,
201,M,78.51,Others,54.48,Others,Commerce,73.13,Comm&Mgmt,No,77.27,Mkt&HR,64.14,Placed,
56,F,82.9,Others,68.18,Central,Science,89.47,Comm&Mgmt,No,62.89,Mkt&Fin,55.63,Placed,200000
1,M,75.13,Central,83.59,Others,Commerce,91,Sci&Tech,Yes,50,Mkt&Fin,51.29,Placed,200000
167,M,66.52,Central,51.71,Others,Science,77.48,Comm&Mgmt,No,74.42,Mkt&Fin,60.92,Placed,442299
215,M,73.52,Central,42.21,Others,Commerce,80.18,Comm&Mgmt,Yes,50.58,Mkt&Fin,62.07,Placed,265311
153,M,75.51,Central,54.01,Central,Science,50,Comm&Mgmt,Yes,73.43,Mkt&Fin,51.21,Placed,
153,M,57.78,Central,66.14,Others,Science,64.93,Comm&Mgmt,Yes,98,Mkt&Fin,52.03,Placed,299757
215,F,48.45,Others,37,Others,Science,50,Sci&Tech,No,50,Mkt&Fin,51.21,Not Placed,
73,M,63.58,Central,37,Others,Commerce,65.74,Comm&Mgmt,No,60.33,Mkt&Fin,61.31,Placed,301748
174,M,89.4,Others,56.46,Others,Commerce,76.17,Comm&Mgmt,No,69.76,Mkt&Fin,77.89,Not Placed,200000
6,M,87.82,Central,64.27,Others,Commerce,91,Comm&Mgmt,No,63.75,Mkt&Fin,67.24,Not Placed,200000
215,F,77.67,Central,53.06,Central,Commerce,70.3,Comm&Mgmt,No,56.85,Mkt&Fin,67.21,Not Placed,
1,M,89.4,Central,37,Others,Science,62.58,Sci&Tech,No,98,Mkt&Fin,71.77,Not Placed,277465
182,F,75.85,Others,75.81,Others,Commerce,72.94,Comm&Mgmt,No,76.09,Mkt&Fin,77.89,Placed,200000
179,F,82.63,Others,56.55,Others,Science,81.79,Others,No,70.81,Mkt&Fin,71.06,Placed,208440
1,M,89.4,Central,40.47,Others,Commerce,78.31,Comm&Mgmt,No,66.07,Mkt&Fin,68.79,Placed,200000
115,F,88.78,Central,59.7,Others,Commerce,83.65,Comm&Mgmt,No,50,Mkt&Fin,56.82,Placed,200000
182,F,89.4,Others,53.15,Others,Science,81.8,Comm&Mgmt,No,98,Mkt&Fin,71.36,Placed,212440
189,F,46.95,Others,37,Others,Arts,75.65,Comm&Mgmt,No,50,Mkt&Fin,51.21,Not Placed,259470
180,M,80.45,Others,37,Central,Science,69.12,Comm&Mgmt,Yes,50,Mkt&Fin,51.21,Placed,262202
215,M,89.4,Central,63.75,Others,Commerce,90.77,Comm&Mgmt,No,78.31,Mkt&Fin,65.84,Not Placed,200000
26,M,86.71,Others,46.58,Others,Commerce,50,Comm&Mgmt,No,59.26,Mkt&Fin,54.7,Placed,200000
74,M,54.28,Others,57.33,Others,Commerce,86.68,Sci&Tech,No,65.07,Mkt&Fin,51.21,Not Placed,200000
215,M,88.96,Central,56,Others,Commerce,70.2,Others,No,70.42,Mkt&HR,77.89,Placed,262609
112,M,72.34,Others,42.69,Others,Science,91,Comm&Mgmt,No,51.1,Mkt&Fin,55.8,Placed,200000
102,M,74.49,Others,37,Others,Science,78.49,Comm&Mgmt,Yes,87.29,Mkt&Fin,70.54,Placed,
215,M,82.84,Central,42.66,Central,Commerce,70.14,Comm&Mgmt,No,89.78,Mkt&Fin,58.79,Placed,
158,M,68.82,Others,78.23,Central,Commerce,74.48,Comm&Mgmt,No,61.28,Mkt&Fin,57.24,Placed,284423
135,M,47.11,Central,37,Others,Science,70.31,Comm&Mgmt,No,50,Mkt&Fin,62.51,Placed,
185,M,87.08,Central,56.65,Central,Commerce,75.87,Sci&Tech,No,58.04,Mkt&Fin,73.31,Placed,286333
215,M,40.89,Central,47.55,Others,Science,60.78,Comm&Mgmt,No,94.16,Mkt&Fin,51.21,Placed,
215,M,87.73,Others,75.22,Others,Commerce,71.46,Sci&Tech,No,77.78,Mkt&Fin,55.01,Placed,200000
215,M,70.09,Central,41.24,Others,Science,61.85,Comm&Mgmt,No,81.62,Mkt&Fin,55.9,Not Placed,250014
96,M,89.4,Others,52.82,Others,Commerce,79.89,Sci&Tech,No,68.85,Mkt&Fin,63.55,Placed,200000
75,M,85.8,Others,77.27,Central,Commerce,91,Comm&Mgmt,No,87.82,Mkt&Fin,64.16,Placed,239493
140,M,82.4,Central,60.29,Others,Science,74.94,Comm&Mgmt,No,62.33,Mkt&Fin,51.21,Placed,200000
108,F,89.4,Central,46,Others,Commerce,69.46,Comm&Mgmt,No,62.13,Mkt&Fin,63.6,Placed,215565
215,M,83.03,Central,41.58,Central,Commerce,84.7,Comm&Mgmt,No,50,Mkt&Fin,72.26,Placed,243804
193,F,76.92,Central,43.3,Others,Science,62.56,Comm&Mgmt,No,50,Mkt&Fin,64.66,Placed,
47,M,81.65,Central,50.56,Others,Commerce,85.7,Sci&Tech,No,87.22,Mkt&Fin,56.46,Placed,200000
146,F,81.39,Others,61.97,Central,Commerce,85.16,Comm&Mgmt,No,58.64,Mkt&Fin,58.34,Placed,
1,M,65.99,Central,79.69,Others,Commerce,86.02,Sci&Tech,Yes,73.01,Mkt&Fin,51.72,Placed,273405
139,M,72.16,Others,61.81,Central,Commerce,85.22,Comm&Mgmt,No,59.8,Mkt&HR,68.05,Placed,271496
156,M,52.49,Others,53.23,Others,Arts,61.05,Comm&Mgmt,No,66.05,Mkt&Fin,51.21,Placed,247427
91,M,75.34,Others,54.01,Central,Commerce,83.53,Comm&Mgmt,No,54.56,Mkt&HR,76.88,Not Placed,284335
215,F,80.37,Central,37,Central,Science,76.69,Comm&Mgmt,No,50,Mkt&HR,65.51,Not Placed,
1,M,65.73,Central,41.99,Others,Commerce,85.32,Comm&Mgmt,No,66.36,Mkt&HR,54.39,Placed,
8,F,83.86,Others,60.11,Others,Commerce,87.03,Comm&Mgmt,No,80.72,Mkt&HR,51.92,Not Placed,257207
81,M,88.13,Central,75.22,Others,Commerce,90.87,Comm&Mgmt,No,66.6,Mkt&Fin,64,Placed,200000
180,F,82.87,Others,41.81,Others,Science,86.82,Sci&Tech,Yes,50,Mkt&Fin,68.41,Placed,245513
124,F,89.4,Others,74.58,Others,Science,91,Comm&Mgmt,No,69.32,Mkt&Fin,77.89,Placed,200000
153,M,85.34,Central,38.96,Central,Science,77.37,Sci&Tech,No,50.81,Mkt&Fin,55.2,Placed,
1,M,64.32,Central,68.37,Central,Science,91,Comm&Mgmt,No,50,Mkt&Fin,53.28,Placed,272537
215,F,86.27,Central,38.52,Central,Commerce,50,Comm&Mgmt,No,72.49,Mkt&HR,51.21,Placed,200000
141,M,89.4,Central,56.88,Others,Science,81.68,Comm&Mgmt,No,64.97,Mkt&Fin,54.62,Placed,
111,M,89.4,Central,50.59,Others,Commerce,54.92,Sci&Tech,No,98,Mkt&HR,67.33,Placed,
50,M,89.4,Others,74.84,Others,Commerce,89.37,Comm&Mgmt,No,82.23,Mkt&Fin,68.43,Not Placed,200000
140,M,49.79,Central,39.26,Others,Commerce,53.92,Comm&Mgmt,Yes,50,Mkt&Fin,51.21,Placed,268509
77,M,74.4,Others,50.29,Others,Commerce,88.23,Comm&Mgmt,No,55.09,Mkt&Fin,67.63,Not Placed,
117,M,81.69,Central,59.69,Others,Science,72.52,Comm&Mgmt,No,50,Mkt&Fin,65.83,Not Placed,268263
187,F,89.4,Central,37,Others,Commerce,59.89,Comm&Mgmt,No,74.52,Mkt&Fin,59.08,Not Placed,261100
75,F,58.69,Others,37,Others,Science,90.75,Comm&Mgmt,No,51.26,Mkt&HR,62.45,Placed,202583
161,M,85.24,Central,43.96,Central,Commerce,63.9,Comm&Mgmt,No,87.05,Mkt&Fin,69.41,Placed,300343
56,M,78.25,Others,75.49,Others,Science,76.75,Comm&Mgmt,No,57.55,Mkt&Fin,62,Not Placed,200000
59,F,86.18,Others,47.05,Others,Commerce,84.57,Comm&Mgmt,Yes,52.35,Mkt&HR,56.55,Placed,267679
118,F,87.07,Others,62.94,Others,Commerce,83.18,Comm&Mgmt,No,50,Mkt&Fin,58.34,Placed,205162
124,F,89.4,Others,83.73,Others,Commerce,91,Comm&Mgmt,No,85.83,Mkt&Fin,73.37,Not Placed,217989
215,M,76.26,Others,63.58,Others,Science,58.5,Comm&Mgmt,Yes,66.14,Mkt&Fin,73.09,Placed,246865
99,M,73.07,Central,53.89,Central,Science,84.57,Comm&Mgmt,No,65.84,Mkt&Fin,77.89,Not Placed,
20,M,78.9,Others,83.82,Central,Science,91,Sci&Tech,Yes,79.18,Mkt&Fin,66.08,Placed,
169,M,85.46,Central,68.24,Central,Science,80.58,Comm&Mgmt,No,87.1,Mkt&Fin,59.61,Placed,200000
171,M,66.43,Others,47.11,Central,Science,80.22,Comm&Mgmt,Yes,84.2,Mkt&HR,66.22,Placed,221046
3,M,44.4,Others,53.02,Others,Commerce,59.17,Comm&Mgmt,Yes,75.41,Mkt&Fin,51.21,Placed,
137,F,59.04,Others,63.16,Others,Science,56.42,Comm&Mgmt,No,98,Mkt&Fin,53.64,Placed,291830
138,M,72.49,Central,40.73,Others,Commerce,64.59,Comm&Mgmt,Yes,57.88,Mkt&Fin,64.17,Not Placed,
155,M,51.93,Others,37,Others,Commerce,76.62,Comm&Mgmt,No,78.07,Mkt&Fin,64.28,Placed,
116,F,84.72,Central,70.7,Others,Commerce,77.78,Sci&Tech,No,76.15,Mkt&Fin,59.9,Placed,267673
84,M,87.85,Central,69.62,Others,Commerce,91,Comm&Mgmt,No,61.74,Mkt&Fin,75.44,Placed,200000
42,M,88.54,Central,63.01,Others,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,52.34,Placed,235715
122,F,74.82,Others,57.7,Central,Science,81.14,Comm&Mgmt,No,52.6,Mkt&Fin,64.56,Placed,
2,M,53.47,Others,61.96,Others,Science,61.81,Comm&Mgmt,No,65.29,Mkt&Fin,67.58,Placed,285582
52,M,46.26,Others,37,Others,Science,62.21,Comm&Mgmt,No,70.39,Mkt&Fin,64.05,Placed,
187,M,83.91,Central,48.32,Central,Commerce,52.86,Comm&Mgmt,Yes,50,Mkt&Fin,66.98,Placed,
215,M,80.02,Central,66.48,Others,Commerce,57.72,Comm&Mgmt,No,98,Mkt&Fin,52.64,Placed,205624
182,M,58.25,Others,61.68,Others,Commerce,74.58,Comm&Mgmt,No,81.5,Mkt&Fin,65.81,Not Placed,260262
151,M,49.41,Others,54.57,Others,Science,54.43,Comm&Mgmt,No,57.05,Mkt&HR,70.93,Not Placed,
28,F,72.6,Others,67.25,Others,Science,84.74,Comm&Mgmt,Yes,98,Mkt&Fin,66.74,Not Placed,298452
215,M,87.77,Others,40.65,Central,Commerce,64.9,Comm&Mgmt,No,77.24,Mkt&Fin,56.56,Not Placed,273489
171,M,61.27,Central,56.75,Others,Commerce,50,Comm&Mgmt,No,50,Mkt&Fin,66.12,Placed,
188,M,64.14,Central,49.25,Others,Arts,74.73,Comm&Mgmt,No,83.98,Mkt&Fin,77.89,Placed,283113
177,M,61.36,Central,37,Others,Commerce,65.44,Sci&Tech,Yes,72.93,Mkt&Fin,69.72,Placed,271662
54,M,83.33,Central,47.71,Others,Science,87.48,Comm&Mgmt,Yes,66.31,Mkt&Fin,57.64,Placed,283289
215,F,77.05,Others,43.7,Others,Science,68.13,Comm&Mgmt,Yes,81.34,Mkt&Fin,63.01,Not Placed,283652
5,M,59.48,Central,52.07,Others,Science,82.55,Comm&Mgmt,Yes,50,Mkt&HR,64.13,Placed,230886
193,F,89.4,Central,58.33,Central,Commerce,83.62,Comm&Mgmt,No,68.72,Mkt&Fin,77.89,Placed,371139
186,M,85.69,Others,49.65,Others,Commerce,91,Comm&Mgmt,No,62.82,Mkt&Fin,74.67,Placed,
184,M,68.74,Others,42.2,Central,Commerce,56.1,Comm&Mgmt,No,53.49,Mkt&Fin,61.04,Not Placed,228722
32,M,89.4,Others,51.92,Others,Science,91,Sci&Tech,No,50,Mkt&Fin,67.71,Placed,253862
215,M,80.85,Central,69.7,Others,Commerce,71.31,Comm&Mgmt,Yes,63.15,Mkt&Fin,51.21,Placed,200000
1,M,53.56,Central,37,Others,Commerce,59.3,Comm&Mgmt,No,62.22,Mkt&Fin,51.21,Not Placed,
162,M,85.67,Others,69.35,Central,Commerce,61.42,Comm&Mgmt,Yes,50,Mkt&Fin,51.58,Placed,
215,M,47.35,Central,37.16,Central,Science,50,Comm&Mgmt,No,72.5,Mkt&Fin,51.21,Not Placed,218267
130,M,64.93,Others,67.96,Central,Commerce,84.19,Comm&Mgmt,Yes,87.03,Mkt&Fin,58.66,Placed,
206,M,89.4,Others,59.14,Central,Science,88.98,Sci&Tech,No,92.28,Mkt&Fin,67.92,Placed,200000
182,M,78.23,Others,40.83,Others,Science,58.92,Others,No,50,Mkt&HR,53.45,Placed,223785
162,F,74.95,Central,61.48,Others,Commerce,81.56,Comm&Mgmt,No,57.82,Mkt&Fin,55.18,Not Placed,281624
118,M,89.4,Central,78.57,Others,Commerce,89.49,Sci&Tech,No,57.43,Mkt&Fin,66.25,Placed,
140,M,71.95,Others,37,Others,Commerce,67.18,Comm&Mgmt,No,50,Mkt&Fin,59.96,Placed,266758
56,F,58,Central,51.7,Others,Science,54.48,Comm&Mgmt,No,50,Mkt&Fin,51.21,Placed,
179,M,78.63,Central,51.67,Others,Commerce,67.48,Sci&Tech,No,65.49,Mkt&Fin,64.05,Placed,271421
114,F,69.89,Others,58.2,Others,Science,71.2,Comm&Mgmt,No,56.87,Mkt&Fin,64.41,Placed,263042
155,F,76.95,Others,61.39,Others,Science,86.59,Comm&Mgmt,No,50,Mkt&Fin,66.28,Placed,287359
110,M,89.4,Central,92.93,Others,Commerce,75.13,Sci&Tech,No,73.73,Mkt&Fin,59.93,Placed,201809
5,M,68.56,Central,54.33,Others,Arts,78.97,Comm&Mgmt,No,50,Mkt&Fin,62.16,Placed,
215,M,74.12,Central,37,Central,Arts,79.36,Comm&Mgmt,No,80.33,Mkt&Fin,55.69,Placed,207128
14,F,56.59,Central,37,Others,Science,63.59,Comm&Mgmt,No,53.59,Mkt&Fin,51.21,Not Placed,
160,M,89.4,Others,46.48,Others,Commerce,81.28,Comm&Mgmt,No,68.74,Mkt&HR,75.46,Placed,266494
215,F,69.28,Others,74.83,Others,Commerce,76.51,Comm&Mgmt,No,51.01,Mkt&Fin,67.08,Placed,220757
165,M,74.88,Others,40.22,Central,Commerce,53.69,Comm&Mgmt,Yes,95.04,Mkt&HR,51.21,Placed,267320
153,F,68.65,Central,51.73,Others,Science,79.53,Comm&Mgmt,No,62.76,Mkt&Fin,69.8,Not Placed,
160,M,81.98,Others,70.75,Others,Science,84.49,Comm&Mgmt,No,50,Mkt&Fin,58.21,Placed,200000
188,F,64.55,Others,42.49,Central,Commerce,50,Comm&Mgmt,No,50,Mkt&Fin,57.01,Placed,
119,M,88.8,Central,56.54,Others,Commerce,83.3,Comm&Mgmt,No,72.74,Mkt&Fin,54.68,Placed,247843
215,M,78.09,Central,53.84,Others,Commerce,57.35,Comm&Mgmt,No,63.95,Mkt&Fin,76.11,Not Placed,
56,M,79.6,Central,53.48,Others,Commerce,80.02,Comm&Mgmt,Yes,98,Mkt&Fin,57.93,Placed,200000
133,F,89.4,Central,61.14,Others,Commerce,72.47,Comm&Mgmt,Yes,51.83,Mkt&Fin,55.27,Placed,200000
215,F,82.33,Others,41.81,Others,Commerce,50,Comm&Mgmt,No,98,Mkt&Fin,57.27,Placed,202838
160,M,88.99,Others,79.68,Others,Commerce,91,Comm&Mgmt,Yes,67.02,Mkt&HR,68.79,Placed,202118
208,M,73.47,Central,37,Central,Commerce,50,Others,No,67.19,Mkt&HR,51.77,Placed,248711
139,M,76.81,Central,52.74,Others,Science,53.7,Comm&Mgmt,Yes,66.39,Mkt&Fin,51.21,Placed,263897
175,M,69.97,Others,55.45,Central,Science,63.56,Comm&Mgmt,Yes,74.03,Mkt&HR,54.64,Placed,299373
13,F,89.4,Central,39.46,Central,Commerce,52.81,Comm&Mgmt,Yes,50,Mkt&Fin,67.09,Not Placed,200000
31,M,80.22,Central,74.89,Others,Commerce,78.26,Comm&Mgmt,No,65.95,Mkt&Fin,72.69,Placed,200000
132,M,64.89,Others,56.23,Others,Commerce,64.26,Comm&Mgmt,No,78.21,Mkt&HR,52.59,Placed,269348
203,M,40.89,Central,55.02,Central,Science,86.05,Comm&Mgmt,No,57.52,Mkt&Fin,55.77,Placed,274897
122,M,89.4,Central,62.17,Central,Arts,91,Comm&Mgmt,No,63.08,Mkt&Fin,65.37,Placed,
97,F,89.4,Central,72.95,Others,Commerce,75.56,Others,Yes,63.15,Mkt&Fin,55.19,Placed,285216
89,F,79.01,Central,49.67,Others,Commerce,89.5,Comm&Mgmt,No,78.29,Mkt&Fin,75.58,Not Placed,200000
1,F,58.12,Others,54.61,Others,Commerce,82.76,Comm&Mgmt,Yes,98,Mkt&Fin,60.18,Placed,260928
56,F,89.4,Central,66.22,Others,Commerce,91,Comm&Mgmt,No,98,Mkt&Fin,74.57,Placed,257180
98,M,89.4,Others,83.02,Others,Science,91,Comm&Mgmt,No,64.58,Mkt&Fin,70.76,Not Placed,225422
75,F,89.4,Central,91.26,Others,Science,88.45,Comm&Mgmt,No,69.28,Mkt&Fin,77.89,Not Placed,200000
215,M,78.47,Central,83.13,Others,Science,65.46,Sci&Tech,No,67.44,Mkt&HR,56.9,Placed,271399
38,M,85.47,Others,59.75,Others,Science,77.87,Comm&Mgmt,No,50,Mkt&Fin,64.76,Not Placed,200000
143,M,89.4,Central,41.16,Others,Commerce,67.46,Comm&Mgmt,No,66.76,Mkt&Fin,59.84,Placed,203257
183,M,79.32,Central,65.44,Others,Arts,72.66,Comm&Mgmt,Yes,62.14,Mkt&Fin,51.21,Not Placed,260709
71,M,68.77,Others,49.22,Others,Science,60.23,Comm&Mgmt,Yes,98,Mkt&Fin,57.48,Not Placed,
215,M,72.61,Others,49.78,Others,Science,82.75,Comm&Mgmt,Yes,50.36,Mkt&Fin,53.46,Not Placed,
7,M,80.71,Others,80.48,Others,Commerce,86.12,Comm&Mgmt,Yes,57.25,Mkt&Fin,77.89,Placed,225801
210,M,80.89,Central,52.01,Others,Commerce,63.07,Comm&Mgmt,No,50.13,Mkt&Fin,66.5,Not Placed,277241
139,F,71.6,Others,44.75,Central,Arts,76.96,Comm&Mgmt,No,50,Mkt&Fin,52.13,Not Placed,295322
52,M,80.61,Others,64.1,Others,Commerce,82.85,Comm&Mgmt,Yes,50,Mkt&Fin,66.34,Not Placed,
180,M,89.4,Central,56.16,Central,Commerce,91,Comm&Mgmt,No,50,Mkt&Fin,70.86,Placed,
119,F,50.43,Others,48.51,Others,Commerce,80.71,Comm&Mgmt,No,58.08,Mkt&HR,64.07,Not Placed,
78,F,89.07,Central,63.78,Central,Commerce,66.14,Comm&Mgmt,No,72.1,Mkt&Fin,60.3,Placed,
215,F,83.67,Others,56.06,Others,Commerce,57.01,Comm&Mgmt,No,88.13,Mkt&Fin,67.63,Placed,270710
126,F,50.36,Central,58.95,Others,Science,55.28,Comm&Mgmt,No,57.44,Mkt&Fin,58.21,Placed,200000
46,F,81.33,Others,59.28,Others,Arts,80.45,Comm&Mgmt,No,98,Mkt&Fin,58.45,Not Placed,200000
53,M,67.16,Others,38.49,Others,Science,79.21,Sci&Tech,No,69.59,Mkt&Fin,58.7,Placed,
84,M,86.86,Central,75.51,Others,Commerce,65.95,Comm&Mgmt,No,82.1,Mkt&Fin,51.21,Placed,200000
215,F,81.79,Others,64.18,Others,Commerce,90.3,Comm&Mgmt,No,83.85,Mkt&Fin,60.53,Placed,
